Time,variable,Scenario,RAP,sdRAP,AH,sdAH,ncc,sdncc,Site,lat,long
2019,0,SSP2_4.5,1.765864611,1.049820752,1.765864611,1.049820752,3.410987374,2.13480189,Cheeca Rocks,24.9023,-80.6097
2019,0.25,SSP2_4.5,1.765864611,1.049820752,1.765864611,1.049820752,3.410987374,2.13480189,Cheeca Rocks,24.9023,-80.6097
2019,0.5,SSP2_4.5,1.765864611,1.049820752,1.765864611,1.049820752,3.410987374,2.13480189,Cheeca Rocks,24.9023,-80.6097
2019,0.75,SSP2_4.5,1.765864611,1.049820752,1.765864611,1.049820752,3.410987374,2.13480189,Cheeca Rocks,24.9023,-80.6097
2019,1,SSP2_4.5,1.765864611,1.049820752,1.765864611,1.049820752,3.410987374,2.13480189,Cheeca Rocks,24.9023,-80.6097
2019,1.25,SSP2_4.5,1.765864611,1.049820752,1.765864611,1.049820752,3.410987374,2.13480189,Cheeca Rocks,24.9023,-80.6097
2019,1.5,SSP2_4.5,1.765864611,1.049820752,1.765864611,1.049820752,3.410987374,2.13480189,Cheeca Rocks,24.9023,-80.6097
2019,1.75,SSP2_4.5,1.765864611,1.049820752,1.765864611,1.049820752,3.410987374,2.13480189,Cheeca Rocks,24.9023,-80.6097
2019,2,SSP2_4.5,1.765864611,1.049820752,1.765864611,1.049820752,3.410987374,2.13480189,Cheeca Rocks,24.9023,-80.6097
2019,2.25,SSP2_4.5,1.765864611,1.049820752,1.765864611,1.049820752,3.410987374,2.13480189,Cheeca Rocks,24.9023,-80.6097
2020,0,SSP2_4.5,1.737889786,1.001487301,3.503754397,2.050300588,3.354033017,2.03738073,Cheeca Rocks,24.9023,-80.6097
2020,0.25,SSP2_4.5,1.737889786,1.001487301,3.503754397,2.050300588,3.354033017,2.03738073,Cheeca Rocks,24.9023,-80.6097
2020,0.5,SSP2_4.5,1.737889786,1.001487301,3.503754397,2.050300588,3.354033017,2.03738073,Cheeca Rocks,24.9023,-80.6097
2020,0.75,SSP2_4.5,1.737889786,1.001487301,3.503754397,2.050300588,3.354033017,2.03738073,Cheeca Rocks,24.9023,-80.6097
2020,1,SSP2_4.5,1.737889786,1.001487301,3.503754397,2.050300588,3.354033017,2.03738073,Cheeca Rocks,24.9023,-80.6097
2020,1.25,SSP2_4.5,1.737889786,1.001487301,3.503754397,2.050300588,3.354033017,2.03738073,Cheeca Rocks,24.9023,-80.6097
2020,1.5,SSP2_4.5,1.737889786,1.001487301,3.503754397,2.050300588,3.354033017,2.03738073,Cheeca Rocks,24.9023,-80.6097
2020,1.75,SSP2_4.5,1.737889786,1.001487301,3.503754397,2.050300588,3.354033017,2.03738073,Cheeca Rocks,24.9023,-80.6097
2020,2,SSP2_4.5,1.737889786,1.001487301,3.503754397,2.050300588,3.354033017,2.03738073,Cheeca Rocks,24.9023,-80.6097
2020,2.25,SSP2_4.5,1.737889786,1.001487301,3.503754397,2.050300588,3.354033017,2.03738073,Cheeca Rocks,24.9023,-80.6097
2021,0,SSP2_4.5,1.745765713,1.006330836,5.24952011,3.056305678,3.369594554,2.047314028,Cheeca Rocks,24.9023,-80.6097
2021,0.25,SSP2_4.5,1.745765713,1.006330836,5.24952011,3.056305678,3.369594554,2.047314028,Cheeca Rocks,24.9023,-80.6097
2021,0.5,SSP2_4.5,1.745765713,1.006330836,5.24952011,3.056305678,3.369594554,2.047314028,Cheeca Rocks,24.9023,-80.6097
2021,0.75,SSP2_4.5,1.745765713,1.006330836,5.24952011,3.056305678,3.369594554,2.047314028,Cheeca Rocks,24.9023,-80.6097
2021,1,SSP2_4.5,1.745765713,1.006330836,5.24952011,3.056305678,3.369594554,2.047314028,Cheeca Rocks,24.9023,-80.6097
2021,1.25,SSP2_4.5,1.745765713,1.006330836,5.24952011,3.056305678,3.369594554,2.047314028,Cheeca Rocks,24.9023,-80.6097
2021,1.5,SSP2_4.5,1.745765713,1.006330836,5.24952011,3.056305678,3.369594554,2.047314028,Cheeca Rocks,24.9023,-80.6097
2021,1.75,SSP2_4.5,1.745765713,1.006330836,5.24952011,3.056305678,3.369594554,2.047314028,Cheeca Rocks,24.9023,-80.6097
2021,2,SSP2_4.5,1.745765713,1.006330836,5.24952011,3.056305678,3.369594554,2.047314028,Cheeca Rocks,24.9023,-80.6097
2021,2.25,SSP2_4.5,1.745765713,1.006330836,5.24952011,3.056305678,3.369594554,2.047314028,Cheeca Rocks,24.9023,-80.6097
2022,0,SSP2_4.5,1.734796334,1.006870035,6.984316445,4.062982654,3.346964296,2.04866007,Cheeca Rocks,24.9023,-80.6097
2022,0.25,SSP2_4.5,1.734796334,1.006870035,6.984316445,4.062982654,3.346964296,2.04866007,Cheeca Rocks,24.9023,-80.6097
2022,0.5,SSP2_4.5,1.734796334,1.006870035,6.984316445,4.062982654,3.346964296,2.04866007,Cheeca Rocks,24.9023,-80.6097
2022,0.75,SSP2_4.5,1.734796334,1.006870035,6.984316445,4.062982654,3.346964296,2.04866007,Cheeca Rocks,24.9023,-80.6097
2022,1,SSP2_4.5,1.734796334,1.006870035,6.984316445,4.062982654,3.346964296,2.04866007,Cheeca Rocks,24.9023,-80.6097
2022,1.25,SSP2_4.5,1.734796334,1.006870035,6.984316445,4.062982654,3.346964296,2.04866007,Cheeca Rocks,24.9023,-80.6097
2022,1.5,SSP2_4.5,1.734796334,1.006870035,6.984316445,4.062982654,3.346964296,2.04866007,Cheeca Rocks,24.9023,-80.6097
2022,1.75,SSP2_4.5,1.734796334,1.006870035,6.984316445,4.062982654,3.346964296,2.04866007,Cheeca Rocks,24.9023,-80.6097
2022,2,SSP2_4.5,1.734796334,1.006870035,6.984316445,4.062982654,3.346964296,2.04866007,Cheeca Rocks,24.9023,-80.6097
2022,2.25,SSP2_4.5,1.734796334,1.006870035,6.984316445,4.062982654,3.346964296,2.04866007,Cheeca Rocks,24.9023,-80.6097
2023,0,SSP2_4.5,1.798211235,1.02565307,8.782527679,5.088565802,3.475119863,2.08647109,Cheeca Rocks,24.9023,-80.6097
2023,0.25,SSP2_4.5,1.798211235,1.02565307,8.782527679,5.088565802,3.475119863,2.08647109,Cheeca Rocks,24.9023,-80.6097
2023,0.5,SSP2_4.5,1.798211235,1.02565307,8.782527679,5.088565802,3.475119863,2.08647109,Cheeca Rocks,24.9023,-80.6097
2023,0.75,SSP2_4.5,1.798211235,1.02565307,8.782527679,5.088565802,3.475119863,2.08647109,Cheeca Rocks,24.9023,-80.6097
2023,1,SSP2_4.5,1.798211235,1.02565307,8.782527679,5.088565802,3.475119863,2.08647109,Cheeca Rocks,24.9023,-80.6097
2023,1.25,SSP2_4.5,1.798211235,1.02565307,8.782527679,5.088565802,3.475119863,2.08647109,Cheeca Rocks,24.9023,-80.6097
2023,1.5,SSP2_4.5,1.798211235,1.02565307,8.782527679,5.088565802,3.475119863,2.08647109,Cheeca Rocks,24.9023,-80.6097
2023,1.75,SSP2_4.5,1.798211235,1.02565307,8.782527679,5.088565802,3.475119863,2.08647109,Cheeca Rocks,24.9023,-80.6097
2023,2,SSP2_4.5,1.798211235,1.02565307,8.782527679,5.088565802,3.475119863,2.08647109,Cheeca Rocks,24.9023,-80.6097
2023,2.25,SSP2_4.5,1.798211235,1.02565307,8.782527679,5.088565802,3.475119863,2.08647109,Cheeca Rocks,24.9023,-80.6097
2024,0,SSP2_4.5,1.794025026,1.027360996,10.57655271,6.115887811,3.466198973,2.090133493,Cheeca Rocks,24.9023,-80.6097
2024,0.25,SSP2_4.5,1.794025026,1.027360996,10.57655271,6.115887811,3.466198973,2.090133493,Cheeca Rocks,24.9023,-80.6097
2024,0.5,SSP2_4.5,1.794025026,1.027360996,10.57655271,6.115887811,3.466198973,2.090133493,Cheeca Rocks,24.9023,-80.6097
